,FOODS
d_245,20386.0
d_246,26922.0
d_247,26738.0
d_248,22299.0
d_249,18876.0
d_250,19340.0
d_251,19367.0
d_252,21904.0
d_253,25896.0
d_254,26780.0
d_255,21598.0
d_256,20286.0
d_257,20503.0
d_258,19143.0
d_259,21228.0
d_260,27448.0
d_261,25785.0
d_262,19880.0
d_263,16928.0
d_264,15683.0
d_265,15824.0
d_266,18939.0
d_267,22799.0
d_268,22938.0
d_269,17135.0
d_270,15736.0
d_271,14886.0
d_272,15679.0
d_273,18609.0
d_274,22595.0
d_275,22382.0
d_276,15441.0
d_277,18137.0
d_278,17526.0
d_279,19545.0
d_280,19957.0
d_281,25980.0
d_282,27911.0
d_283,20030.0
d_284,18567.0
d_285,19506.0
d_286,18691.0
d_287,21396.0
d_288,25516.0
d_289,25947.0
d_290,19129.0
d_291,19738.0
d_292,17172.0
d_293,16538.0
d_294,18455.0
d_295,23404.0
d_296,23044.0
d_297,18295.0
d_298,18298.0
d_299,23261.0
d_300,14233.0
d_301,16733.0
d_302,17121.0
d_303,19262.0
d_304,15668.0
d_305,14907.0
d_306,14770.0
d_307,18321.0
d_308,21160.0
d_309,27148.0
d_310,25171.0
d_311,21653.0
d_312,20239.0
d_313,18883.0
d_314,19365.0
d_315,21381.0
d_316,25040.0
d_317,26858.0
d_318,22015.0
d_319,20272.0
d_320,20201.0
d_321,22234.0
d_322,21019.0
d_323,24541.0
d_324,23396.0
d_325,19705.0
d_326,18999.0
d_327,19322.0
d_328,20299.0
d_329,25198.0
d_330,23432.0
d_331,8.0
d_332,19210.0
d_333,17379.0
d_334,17145.0
d_335,16893.0
d_336,22989.0
d_337,25041.0
d_338,15898.0
d_339,23375.0
d_340,21115.0
d_341,18627.0
d_342,21132.0
d_343,22325.0
d_344,27071.0
d_345,27456.0
d_346,21688.0
d_347,19807.0
d_348,21772.0
d_349,18816.0
d_350,21831.0
d_351,26662.0
d_352,27421.0
d_353,22421.0
d_354,16683.0
d_355,18539.0
d_356,17552.0
d_357,19766.0
d_358,27169.0
d_359,23653.0
d_360,17469.0
d_361,16671.0
d_362,16204.0
d_363,15995.0
d_364,18965.0
d_365,23871.0
d_366,23852.0
d_367,18022.0
d_368,17692.0
d_369,20989.0
d_370,20819.0
d_371,25077.0
d_372,30466.0
d_373,29924.0
d_374,22951.0
d_375,20626.0
d_376,21170.0
d_377,22467.0
d_378,21845.0
d_379,29996.0
d_380,30911.0
d_381,24331.0
d_382,18774.0
d_383,19494.0
d_384,17551.0
d_385,18998.0
d_386,25507.0
d_387,25964.0
d_388,21666.0
d_389,17853.0
d_390,16958.0
d_391,17631.0
d_392,19849.0
d_393,24666.0
d_394,25699.0
d_395,19498.0
d_396,17124.0
d_397,17347.0
d_398,21248.0
d_399,23281.0
d_400,29483.0
d_401,29217.0
d_402,24562.0
d_403,23686.0
d_404,20866.0
d_405,21797.0
d_406,24112.0
d_407,28103.0
d_408,29549.0
d_409,24391.0
d_410,21406.0
d_411,20598.0
d_412,22828.0
d_413,22504.0
d_414,26869.0
d_415,26962.0
d_416,20626.0
d_417,18225.0
d_418,18902.0
d_419,18815.0
d_420,20793.0
d_421,26487.0
d_422,27345.0
d_423,19662.0
d_424,17673.0
d_425,17683.0
d_426,16997.0
d_427,21607.0
d_428,26537.0
d_429,29224.0
d_430,23227.0
d_431,24983.0
d_432,21111.0
d_433,23815.0
d_434,28602.0
d_435,34331.0
d_436,27883.0
d_437,23870.0
d_438,21164.0
d_439,21572.0
d_440,21116.0
d_441,22686.0
d_442,27546.0
d_443,28433.0
d_444,19680.0
d_445,18939.0
d_446,17589.0
d_447,17751.0
d_448,20271.0
d_449,26514.0
d_450,26894.0
d_451,19078.0
d_452,17829.0
d_453,17621.0
d_454,17733.0
d_455,20502.0
d_456,25131.0
d_457,25978.0
d_458,19645.0
d_459,21643.0
d_460,21481.0
d_461,24223.0
d_462,24116.0
d_463,29102.0
d_464,31323.0
d_465,26010.0
d_466,23671.0
d_467,23528.0
d_468,21741.0
d_469,25591.0
d_470,31472.0
d_471,26101.0
d_472,24377.0
d_473,24516.0
d_474,21413.0
d_475,20836.0
d_476,24572.0
d_477,28523.0
d_478,29991.0
d_479,21320.0
d_480,20500.0
d_481,19877.0
d_482,21049.0
d_483,24619.0
d_484,27755.0
d_485,25055.0
d_486,24793.0
d_487,20884.0
d_488,19506.0
d_489,20298.0
d_490,26898.0
d_491,32202.0
d_492,33122.0
d_493,24514.0
d_494,26183.0
d_495,25754.0
d_496,24494.0
d_497,27811.0
d_498,32514.0
d_499,32818.0
d_500,29649.0
d_501,26197.0
d_502,23692.0
d_503,24772.0
d_504,30641.0
d_505,31590.0
d_506,28421.0
d_507,24353.0
d_508,22653.0
d_509,22145.0
d_510,21436.0
d_511,25388.0
d_512,27814.0
d_513,28529.0
d_514,22147.0
d_515,20473.0
d_516,20323.0
d_517,21063.0
d_518,24863.0
d_519,27386.0
d_520,29233.0
d_521,26523.0
d_522,29426.0
d_523,24471.0
d_524,25331.0
d_525,29590.0
d_526,30349.0
d_527,31165.0
d_528,26688.0
d_529,23631.0
d_530,24229.0
d_531,24021.0
d_532,25931.0
d_533,29586.0
d_534,31693.0
d_535,23498.0
d_536,21854.0
d_537,20397.0
d_538,21435.0
d_539,24570.0
d_540,27538.0
d_541,27954.0
d_542,21925.0
d_543,21127.0
d_544,20424.0
d_545,20162.0
d_546,22574.0
d_547,24118.0
d_548,25671.0
d_549,20566.0
d_550,20591.0
d_551,23954.0
d_552,25294.0
d_553,28471.0
d_554,29401.0
d_555,31545.0
d_556,27608.0
d_557,23779.0
d_558,24043.0
d_559,25786.0
d_560,25861.0
d_561,31847.0
d_562,33640.0
d_563,26301.0
d_564,25053.0
d_565,26310.0
d_566,24791.0
d_567,25186.0
d_568,29402.0
d_569,30722.0
d_570,23145.0
d_571,21221.0
d_572,19739.0
d_573,19900.0
d_574,22808.0
d_575,27169.0
d_576,29159.0
d_577,21742.0
d_578,20118.0
d_579,18979.0
d_580,19819.0
d_581,24435.0
d_582,30247.0
d_583,30330.0
d_584,32093.0
d_585,22229.0
d_586,22931.0
d_587,23038.0
d_588,24081.0
d_589,29107.0
d_590,32680.0
d_591,22888.0
d_592,22832.0
d_593,22250.0
d_594,20926.0
d_595,24991.0
d_596,32157.0
d_597,30645.0
d_598,21849.0
d_599,19639.0
d_600,18408.0
d_601,19301.0
d_602,22122.0
d_603,27666.0
d_604,27876.0
d_605,19484.0
d_606,18975.0
d_607,18298.0
d_608,18020.0
d_609,21672.0
d_610,27251.0
d_611,27096.0
d_612,23833.0
d_613,24082.0
d_614,24105.0
d_615,20913.0
d_616,24515.0
d_617,30885.0
d_618,29417.0
d_619,23974.0
d_620,23636.0
d_621,21331.0
d_622,21622.0
d_623,24451.0
d_624,28616.0
d_625,29243.0
d_626,24260.0
d_627,19213.0
d_628,18531.0
d_629,17729.0
d_630,19860.0
d_631,23991.0
d_632,24911.0
d_633,18082.0
d_634,17205.0
d_635,16486.0
d_636,16225.0
d_637,21648.0
d_638,25813.0
d_639,25456.0
d_640,18854.0
d_641,19666.0
d_642,17521.0
d_643,20551.0
d_644,24094.0
d_645,31140.0
d_646,28910.0
d_647,23990.0
d_648,22357.0
d_649,21404.0
d_650,22229.0
d_651,25947.0
d_652,29896.0
d_653,31213.0
d_654,24447.0
d_655,20713.0
d_656,20250.0
d_657,21876.0
d_658,22120.0
d_659,27847.0
d_660,26083.0
d_661,20534.0
d_662,21783.0
d_663,25814.0
d_664,16550.0
d_665,15448.0
d_666,20047.0
d_667,22240.0
d_668,17631.0
d_669,16702.0
d_670,16091.0
d_671,16222.0
d_672,19942.0
d_673,28613.0
d_674,28916.0
d_675,24834.0
d_676,20223.0
d_677,23165.0
d_678,22771.0
d_679,23735.0
d_680,29897.0
d_681,31226.0
d_682,22891.0
d_683,22120.0
d_684,22416.0
d_685,20762.0
d_686,23976.0
d_687,30364.0
d_688,28690.0
d_689,22260.0
d_690,22052.0
d_691,23370.0
d_692,22648.0
d_693,23188.0
d_694,28583.0
d_695,28624.0
d_696,24903.0
d_697,11.0
d_698,19822.0
d_699,19236.0
d_700,21208.0
d_701,24087.0
d_702,24066.0
d_703,25423.0
d_704,16828.0
d_705,22648.0
d_706,26156.0
d_707,23357.0
d_708,30731.0
d_709,32208.0
d_710,24699.0
d_711,23130.0
d_712,22884.0
d_713,22345.0
d_714,25522.0
d_715,33861.0
d_716,29768.0
d_717,23223.0
d_718,23516.0
d_719,20568.0
d_720,20109.0
d_721,22682.0
d_722,29036.0
d_723,26056.0
d_724,21587.0
d_725,17919.0
d_726,16904.0
d_727,16685.0
d_728,19707.0
d_729,26805.0
d_730,25966.0
d_731,18993.0
d_732,17484.0
d_733,16038.0
d_734,17846.0
d_735,25326.0
d_736,34631.0
d_737,30174.0
d_738,20219.0
d_739,22707.0
d_740,22953.0
d_741,20991.0
d_742,24889.0
d_743,31984.0
d_744,29611.0
d_745,25937.0
d_746,25415.0
d_747,27334.0
d_748,21202.0
d_749,25413.0
d_750,28916.0
d_751,29237.0
d_752,22970.0
d_753,18853.0
d_754,20025.0
d_755,20867.0
d_756,21138.0
d_757,27466.0
d_758,29355.0
d_759,21493.0
d_760,18291.0
d_761,18071.0
d_762,19375.0
d_763,24951.0
d_764,32356.0
d_765,33910.0
d_766,24929.0
d_767,22419.0
d_768,23062.0
d_769,21086.0
d_770,23972.0
d_771,30868.0
d_772,29767.0
d_773,25051.0
d_774,23643.0
d_775,21754.0
d_776,22943.0
d_777,25947.0
d_778,28636.0
d_779,28515.0
d_780,21001.0
d_781,19166.0
d_782,19435.0
d_783,19562.0
d_784,21670.0
d_785,26036.0
d_786,27124.0
d_787,20071.0
d_788,19691.0
d_789,19087.0
d_790,20338.0
d_791,26055.0
d_792,31764.0
d_793,24003.0
d_794,21706.0
d_795,22632.0
d_796,23573.0
d_797,21193.0
d_798,25123.0
d_799,31473.0
d_800,30830.0
d_801,23785.0
d_802,23043.0
d_803,21393.0
d_804,22549.0
d_805,24774.0
d_806,28709.0
d_807,29264.0
d_808,23237.0
d_809,20672.0
d_810,19375.0
d_811,18442.0
d_812,21730.0
d_813,26066.0
d_814,25582.0
d_815,19172.0
d_816,17401.0
d_817,17545.0
d_818,17554.0
d_819,19704.0
d_820,22059.0
d_821,25399.0
d_822,18096.0
d_823,18544.0
d_824,20574.0
d_825,21954.0
d_826,25476.0
d_827,27563.0
d_828,29669.0
d_829,24738.0
d_830,21957.0
d_831,21410.0
d_832,22813.0
d_833,22375.0
d_834,30140.0
d_835,25844.0
d_836,23482.0
d_837,22246.0
d_838,23815.0
d_839,21219.0
d_840,22988.0
d_841,26413.0
d_842,28247.0
d_843,22301.0
d_844,19944.0
d_845,18765.0
d_846,20410.0
d_847,22671.0
d_848,25491.0
d_849,23971.0
d_850,23786.0
d_851,18871.0
d_852,17287.0
d_853,18359.0
d_854,23075.0
d_855,28849.0
d_856,31298.0
d_857,26292.0
d_858,22851.0
d_859,24576.0
d_860,23404.0
d_861,25723.0
d_862,30454.0
d_863,33633.0
d_864,25646.0
d_865,24396.0
d_866,23761.0
d_867,23801.0
d_868,27352.0
d_869,31878.0
d_870,27319.0
d_871,23283.0
d_872,20606.0
d_873,20674.0
d_874,21402.0
d_875,24488.0
d_876,27911.0
d_877,29458.0
d_878,22707.0
d_879,21243.0
d_880,20832.0
d_881,21410.0
d_882,25490.0
d_883,30047.0
d_884,29776.0
d_885,26314.0
d_886,26303.0
d_887,31346.0
d_888,26850.0
d_889,28648.0
d_890,28951.0
d_891,31319.0
d_892,26562.0
d_893,27131.0
d_894,24293.0
d_895,25863.0
d_896,28372.0
d_897,30521.0
d_898,32337.0
d_899,26504.0
d_900,22897.0
d_901,22318.0
d_902,23872.0
d_903,24589.0
d_904,27666.0
d_905,28334.0
d_906,22238.0
d_907,21349.0
d_908,20791.0
d_909,21528.0
d_910,24752.0
d_911,27739.0
d_912,27807.0
d_913,21587.0
d_914,20370.0
d_915,20669.0
d_916,25116.0
d_917,28261.0
d_918,32470.0
d_919,30305.0
d_920,27486.0
d_921,26383.0
d_922,25500.0
d_923,24957.0
d_924,28796.0
d_925,30667.0
d_926,33862.0
d_927,27951.0
d_928,24840.0
d_929,24005.0
d_930,26910.0
d_931,26324.0
d_932,30301.0
d_933,30396.0
d_934,24274.0
d_935,21256.0
d_936,22326.0
d_937,21472.0
d_938,24757.0
d_939,30500.0
d_940,33880.0
d_941,23038.0
d_942,22738.0
d_943,22037.0
d_944,21756.0
d_945,28387.0
d_946,32728.0
d_947,32305.0
d_948,33879.0
d_949,27725.0
d_950,23941.0
d_951,26048.0
d_952,28227.0
d_953,34533.0
d_954,37186.0
d_955,29345.0
d_956,24662.0
d_957,25801.0
d_958,26057.0
d_959,27695.0
d_960,34404.0
d_961,35849.0
d_962,25273.0
d_963,22323.0
d_964,21110.0
d_965,20877.0
d_966,23655.0
d_967,30161.0
d_968,31063.0
d_969,22380.0
d_970,20985.0
d_971,19986.0
d_972,20477.0
d_973,23256.0
d_974,29453.0
d_975,29944.0
d_976,21646.0
d_977,23793.0
d_978,22848.0
d_979,25012.0
d_980,24442.0
d_981,33199.0
d_982,34435.0
d_983,25777.0
d_984,24139.0
d_985,24914.0
d_986,23807.0
d_987,26630.0
d_988,31913.0
d_989,31863.0
d_990,25771.0
d_991,23735.0
d_992,22082.0
d_993,21028.0
d_994,22782.0
d_995,27938.0
d_996,29137.0
d_997,21483.0
d_998,19129.0
d_999,19365.0
d_1000,19276.0
d_1001,22628.0
d_1002,27956.0
d_1003,26978.0
d_1004,21397.0
d_1005,19904.0
d_1006,21171.0
d_1007,18964.0
d_1008,25460.0
d_1009,31225.0
d_1010,33754.0
d_1011,22912.0
d_1012,24026.0
d_1013,23798.0
d_1014,22136.0
d_1015,24859.0
d_1016,31660.0
d_1017,29899.0
d_1018,25872.0
d_1019,23016.0
d_1020,20371.0
d_1021,20322.0
d_1022,24493.0
d_1023,29507.0
d_1024,28723.0
d_1025,21947.0
d_1026,19297.0
d_1027,18414.0
d_1028,19361.0
d_1029,21528.0
d_1030,26150.0
d_1031,24928.0
d_1032,19210.0
d_1033,21251.0
d_1034,25127.0
d_1035,14419.0
d_1036,15937.0
d_1037,19287.0
d_1038,25392.0
d_1039,26047.0
d_1040,25926.0
d_1041,21669.0
d_1042,24176.0
d_1043,25398.0
d_1044,30736.0
d_1045,28556.0
d_1046,24558.0
d_1047,22078.0
d_1048,22275.0
d_1049,22776.0
d_1050,25283.0
d_1051,28481.0
d_1052,30129.0
d_1053,22834.0
d_1054,21308.0
d_1055,21815.0
d_1056,22707.0
d_1057,21926.0
d_1058,27088.0
d_1059,23377.0
d_1060,24675.0
d_1061,22944.0
d_1062,12.0
d_1063,21267.0
d_1064,21229.0
d_1065,23964.0
d_1066,23246.0
d_1067,21851.0
d_1068,25746.0
d_1069,16959.0
d_1070,22152.0
d_1071,26981.0
d_1072,30889.0
d_1073,33305.0
d_1074,23856.0
d_1075,22468.0
d_1076,23783.0
d_1077,24079.0
d_1078,22462.0
d_1079,33828.0
d_1080,34073.0
d_1081,23707.0
d_1082,21919.0
d_1083,22549.0
d_1084,22212.0
d_1085,24220.0
d_1086,29444.0
d_1087,27821.0
d_1088,22041.0
d_1089,19150.0
d_1090,18956.0
d_1091,17900.0
d_1092,21392.0
d_1093,27315.0
d_1094,27873.0
d_1095,20830.0
d_1096,16722.0
d_1097,17223.0
d_1098,18047.0
d_1099,23319.0
d_1100,30313.0
d_1101,31405.0
d_1102,26133.0
d_1103,20953.0
d_1104,22514.0
d_1105,23162.0
d_1106,23379.0
d_1107,31534.0
d_1108,33181.0
d_1109,22641.0
d_1110,23211.0
d_1111,25428.0
d_1112,26663.0
d_1113,23402.0
d_1114,29255.0
d_1115,29007.0
d_1116,22424.0
d_1117,20341.0
d_1118,20114.0
d_1119,19239.0
d_1120,21484.0
d_1121,26444.0
d_1122,29427.0
d_1123,21331.0
d_1124,19748.0
d_1125,17286.0
d_1126,18947.0
d_1127,22126.0
d_1128,29437.0
d_1129,31375.0
d_1130,25177.0
d_1131,20444.0
d_1132,21778.0
d_1133,22628.0
d_1134,23732.0
d_1135,28904.0
d_1136,35395.0
d_1137,26372.0
d_1138,24913.0
d_1139,24854.0
d_1140,23146.0
d_1141,25471.0
d_1142,30233.0
d_1143,30777.0
d_1144,21828.0
d_1145,20277.0
d_1146,19778.0
d_1147,19783.0
d_1148,22445.0
d_1149,27474.0
d_1150,30010.0
d_1151,21814.0
d_1152,19589.0
d_1153,18365.0
d_1154,20291.0
d_1155,22065.0
d_1156,27277.0
d_1157,29286.0
d_1158,20559.0
d_1159,22367.0
d_1160,23418.0
d_1161,25406.0
d_1162,24541.0
d_1163,32344.0
d_1164,35030.0
d_1165,26183.0
d_1166,25383.0
d_1167,25785.0
d_1168,23049.0
d_1169,26533.0
d_1170,32082.0
d_1171,32339.0
d_1172,25187.0
d_1173,26054.0
d_1174,23936.0
d_1175,23347.0
d_1176,27116.0
d_1177,33915.0
d_1178,28310.0
d_1179,21512.0
d_1180,20729.0
d_1181,20706.0
d_1182,20830.0
d_1183,23074.0
d_1184,28761.0
d_1185,29977.0
d_1186,21699.0
d_1187,20737.0
d_1188,19469.0
d_1189,22866.0
d_1190,26782.0
d_1191,31830.0
d_1192,31271.0
d_1193,25077.0
d_1194,23661.0
d_1195,22372.0
d_1196,22511.0
d_1197,25546.0
d_1198,30074.0
d_1199,27298.0
d_1200,27812.0
d_1201,24218.0
d_1202,23780.0
d_1203,24173.0
d_1204,23193.0
d_1205,26750.0
d_1206,29904.0
d_1207,22296.0
d_1208,20432.0
d_1209,20041.0
d_1210,21061.0
d_1211,22806.0
d_1212,26077.0
d_1213,24953.0
d_1214,23030.0
d_1215,19258.0
d_1216,18649.0
d_1217,18571.0
d_1218,21978.0
d_1219,27013.0
d_1220,30257.0
d_1221,25930.0
d_1222,26780.0
d_1223,22674.0
d_1224,25235.0
d_1225,26546.0
d_1226,30926.0
d_1227,32366.0
d_1228,28106.0
d_1229,23602.0
d_1230,25260.0
d_1231,25386.0
d_1232,27105.0
d_1233,32069.0
d_1234,31111.0
d_1235,24640.0
d_1236,23438.0
d_1237,22674.0
d_1238,23023.0
d_1239,26120.0
d_1240,28669.0
d_1241,29067.0
d_1242,22832.0
d_1243,20933.0
d_1244,19372.0
d_1245,19671.0
d_1246,22605.0
d_1247,26545.0
d_1248,27798.0
d_1249,22767.0
d_1250,25368.0
d_1251,26627.0
d_1252,33512.0
d_1253,28079.0
d_1254,28344.0
d_1255,32125.0
d_1256,26648.0
d_1257,26138.0
d_1258,27032.0
d_1259,25171.0
d_1260,28959.0
d_1261,33824.0
d_1262,30968.0
d_1263,25885.0
d_1264,25642.0
d_1265,22519.0
d_1266,22267.0
d_1267,24546.0
d_1268,28240.0
d_1269,29167.0
d_1270,22955.0
d_1271,21800.0
d_1272,21138.0
d_1273,21227.0
d_1274,23070.0
d_1275,26184.0
d_1276,28634.0
d_1277,22052.0
d_1278,20932.0
d_1279,20748.0
d_1280,21259.0
d_1281,28538.0
d_1282,32037.0
d_1283,33206.0
d_1284,24910.0
d_1285,25876.0
d_1286,24627.0
d_1287,24418.0
d_1288,27082.0
d_1289,31427.0
d_1290,29660.0
d_1291,25554.0
d_1292,25925.0
d_1293,24240.0
d_1294,24299.0
d_1295,26603.0
d_1296,30693.0
d_1297,32011.0
d_1298,24256.0
d_1299,21524.0
d_1300,21610.0
d_1301,22176.0
d_1302,25416.0
d_1303,30123.0
d_1304,32701.0
d_1305,23583.0
d_1306,21185.0
d_1307,20049.0
d_1308,20235.0
d_1309,24645.0
d_1310,28541.0
d_1311,25911.0
d_1312,29391.0
d_1313,23928.0
d_1314,26278.0
d_1315,21739.0
d_1316,24910.0
d_1317,32202.0
d_1318,32390.0
d_1319,25246.0
d_1320,24565.0
d_1321,22171.0
d_1322,24581.0
d_1323,26741.0
d_1324,32734.0
d_1325,31956.0
d_1326,26237.0
d_1327,21649.0
d_1328,20181.0
d_1329,19690.0
d_1330,23459.0
d_1331,27997.0
d_1332,30236.0
d_1333,21874.0
d_1334,20101.0
d_1335,19860.0
d_1336,19607.0
d_1337,22516.0
d_1338,27616.0
d_1339,29051.0
d_1340,21374.0
d_1341,19694.0
d_1342,22444.0
d_1343,23469.0
d_1344,28194.0
d_1345,31323.0
d_1346,33934.0
d_1347,26480.0
d_1348,23126.0
d_1349,22984.0
d_1350,23930.0
d_1351,23519.0
d_1352,30005.0
d_1353,32667.0
d_1354,23532.0
d_1355,22727.0
d_1356,23904.0
d_1357,20191.0
d_1358,21996.0
d_1359,28603.0
d_1360,29321.0
d_1361,21668.0
d_1362,19239.0
d_1363,18397.0
d_1364,18717.0
d_1365,21476.0
d_1366,26644.0
d_1367,26729.0
d_1368,20744.0
d_1369,18623.0
d_1370,18432.0
d_1371,20327.0
d_1372,21905.0
d_1373,28502.0
d_1374,31405.0
d_1375,26473.0
d_1376,21275.0
d_1377,21448.0
d_1378,23211.0
d_1379,23216.0
d_1380,29746.0
d_1381,33237.0
d_1382,23987.0
d_1383,22849.0
d_1384,22050.0
d_1385,20171.0
d_1386,24077.0
d_1387,30298.0
d_1388,29793.0
d_1389,21768.0
d_1390,19080.0
d_1391,18792.0
d_1392,18919.0
d_1393,21626.0
d_1394,27628.0
d_1395,26974.0
d_1396,21392.0
d_1397,21890.0
d_1398,25528.0
d_1399,16063.0
d_1400,16985.0
d_1401,22000.0
d_1402,24009.0
d_1403,21873.0
d_1404,20763.0
d_1405,22236.0
d_1406,20851.0
d_1407,24634.0
d_1408,29601.0
d_1409,29168.0
d_1410,23523.0
d_1411,23051.0
d_1412,22292.0
d_1413,18824.0
d_1414,23024.0
d_1415,26728.0
d_1416,28631.0
d_1417,24135.0
d_1418,20667.0
d_1419,20575.0
d_1420,22927.0
d_1421,20091.0
d_1422,25103.0
d_1423,25926.0
d_1424,22904.0
d_1425,23893.0
d_1426,21336.0
d_1427,17.0
d_1428,20588.0
d_1429,20407.0
d_1430,20663.0
d_1431,19236.0
d_1432,19369.0
d_1433,23280.0
d_1434,17537.0
d_1435,25666.0
d_1436,28020.0
d_1437,28286.0
d_1438,24896.0
d_1439,24039.0
d_1440,21233.0
d_1441,21084.0
d_1442,24722.0
d_1443,30405.0
d_1444,31664.0
d_1445,25343.0
d_1446,21066.0
d_1447,21929.0
d_1448,23072.0
d_1449,23449.0
d_1450,30173.0
d_1451,27364.0
d_1452,22686.0
d_1453,18946.0
d_1454,18680.0
d_1455,17073.0
d_1456,21519.0
d_1457,27447.0
d_1458,28499.0
d_1459,20207.0
d_1460,18547.0
d_1461,18806.0
d_1462,18140.0
d_1463,23064.0
d_1464,32468.0
d_1465,27553.0
d_1466,23799.0
d_1467,25292.0
d_1468,22528.0
d_1469,23002.0
d_1470,24697.0
d_1471,33393.0
d_1472,33980.0
d_1473,27130.0
d_1474,23701.0
d_1475,24383.0
d_1476,26897.0
d_1477,24889.0
d_1478,27659.0
d_1479,28746.0
d_1480,23988.0
d_1481,19768.0
d_1482,18125.0
d_1483,18453.0
d_1484,20872.0
d_1485,25850.0
d_1486,26932.0
d_1487,19673.0
d_1488,18685.0
d_1489,17822.0
d_1490,17921.0
d_1491,19849.0
d_1492,26374.0
d_1493,28980.0
d_1494,23531.0
d_1495,23061.0
d_1496,20843.0
d_1497,22163.0
d_1498,24332.0
d_1499,28690.0
